display_name,decision,latest_close,latest_probability_up_percent,predicted_return_5d_percent,predicted_price_5d,predicted_price_change_5d,recent_high_gap_percent,test_accuracy_percent,walk_forward_accuracy_mean_percent,strategy_total_return_percent,buy_hold_total_return_percent,strategy_sharpe,buy_hold_sharpe,strategy_max_drawdown_percent,buy_hold_max_drawdown_percent,signal_accuracy_rate_percent,data_rows_used
PANW,Avoid,238.2100067138672,47.376410199387664,0.18997068030112801,238.66253588416689,0.4525291702996981,0.0,47.83427495291902,48.371040723981906,20.082719434526908,37.10279193950154,0.5138797052391886,0.45777146442855526,-24.517279768889257,-36.00596483682512,47.83427495291902,2858
GOOG,Avoid,397.1700134277344,46.24797156350983,0.17221772637216304,397.85401059469166,0.6839971669572833,-0.46862346560344603,49.717514124293785,48.552036199095014,13.855412289327361,162.71946250491771,0.3830618345366674,1.934661805781813,-15.453164363901795,-29.35005059354706,49.717514124293785,2858
SOXX,Avoid,530.030029296875,32.92768898433926,0.17154754267921996,530.9392827875957,0.9092534907207437,-0.5124221823539221,45.19774011299435,51.900452488687776,30.903808896699836,123.78248550112319,0.8550191946139162,1.2197509791669452,-9.287418796281665,-41.36103710514318,45.19774011299435,2858
LTRX,Avoid,6.449999809265137,46.5037793724093,0.06762225268896366,6.454361444434596,0.004361635169459532,-8.898306797030898,49.152542372881356,48.64253393665159,13.666330279441151,72.48519900332566,0.2712812844356462,0.42100143883071556,-27.285429747725864,-56.15212236815474,49.152542372881356,2858
BOTZ,Avoid,41.119998931884766,48.26436005105152,0.025846764115725996,41.13062712101308,0.01062818912831176,-1.2250831687368957,56.27802690582959,48.355795148247985,29.597715993843842,32.91389630008321,1.3159169601718257,0.6546426447688927,-3.385498964503908,-29.0182427528051,56.27802690582959,2431
GOOGL,Avoid,401.07000732421875,46.947241846751794,-0.035377486852833435,400.92811883510694,-0.14188848911180685,-0.3849753643053955,45.5743879472693,51.08597285067873,31.856722950809058,166.32997619715374,0.9122603822482587,1.9417770029599046,-14.24921789300575,-29.805878729523982,45.5743879472693,2858
STX,Avoid,804.760009765625,47.95786978850256,-0.11231205315853392,803.8561672756584,-0.9038424899665642,-3.507152151353665,45.76271186440678,47.10407239819004,114.51840925347305,743.6154459180418,1.9073967932271105,3.390516214074684,-16.460603253730554,-40.00064246049274,45.76271186440678,2858
TDC,Avoid,33.459999084472656,37.92636284470158,-0.14886003960417307,33.41019051658395,-0.04980856788870369,-0.29798058619254775,51.41242937853108,51.447963800904986,-5.21500184261442,-23.456471553749548,-0.07278141319315241,-0.2341143278256517,-38.97436006711538,-51.23189920284739,51.41242937853108,2858
PLTR,Avoid,133.72999572753906,43.716205092272965,-0.1849832827729464,133.48261759139015,-0.24737813614891024,-16.85526064884957,52.066115702479344,50.049751243781095,39.120311145749476,13.658982393929398,1.8443474100928756,0.2821016536976856,-16.558809708366717,-38.18901337688689,52.066115702479344,1412
MU,Avoid,776.010009765625,47.354483980027304,-0.21557477477421386,774.3371279348473,-1.6728818307776692,-3.436904414888675,49.34086629001883,50.2262443438914,22.219604147273174,448.64831850841904,0.29969057882319805,2.0282526313042633,-31.65614436182499,-57.62897225740882,49.34086629001883,2858
CRWD,Avoid,579.9500122070312,40.698541895393525,-0.2889492192394682,578.2742511747798,-1.6757610322514438,0.0,41.55844155844156,46.171875,-5.406163687626808,11.949354087142506,-0.20291434165769998,0.201622042274019,-21.6826405555418,-37.17827173511792,41.55844155844156,1741
MSFT,Avoid,409.42999267578125,45.97665089401659,-0.8778046950001258,405.83599697733456,-3.5939956984466903,-5.425949372487082,56.30885122410546,52.0814479638009,-15.699894914796497,1.322965233452944,-0.4106808323280742,0.025607965322827258,-27.225237898267352,-33.91009686588168,56.30885122410546,2858
DELL,Avoid,247.88999938964844,37.92312677698932,-0.9016276389305128,245.6549546410067,-2.235044748641741,-4.8260740527581785,45.87973273942094,51.65775401069518,39.99091747349153,104.14422527300466,1.1072978648069844,0.9236929847650353,-12.963524046429796,-50.13045448501745,45.87973273942094,2449
ADBE,Avoid,237.00999450683594,46.62516381789424,-1.2018831869337108,234.16141123150578,-2.8485832753301565,-16.43396143177177,49.152542372881356,50.40723981900452,-4.597558096025001,-49.4661137349721,-0.43794833401802424,-0.8229908805387766,-7.902956082965595,-61.58042608585712,49.152542372881356,2858
LITE,Avoid,1001.8099975585938,43.656932843837076,-1.2874246375790865,988.912448828294,-12.897548730299718,-4.8694764859689705,46.3220675944334,51.55131264916467,47.670290196644835,1923.532089637699,0.5954728533245291,4.667111443677096,-36.65604154300457,-50.627612343749576,46.3220675944334,2719
MDB,Avoid,303.0899963378906,33.0943260311034,-1.375220753659636,298.9218398059857,-4.168156531904913,-17.728012660321866,46.666666666666664,52.53086419753087,-22.995401411830418,5.398900100018711,-0.4633993519780846,0.05019245416226163,-45.37973968233747,-58.34404247864127,46.666666666666664,2153
IGV,Avoid,90.63999938964844,36.838984260925486,-2.0448688366876953,88.7865302885556,-1.8534691010928412,-0.5595196134864255,54.048964218455744,55.067873303167424,3.721049539572441,5.824111926463371,0.10559729492185649,0.10197286102308967,-20.7601262422206,-36.60752390816724,54.048964218455744,2858
AI,Avoid,9.029999732971191,45.81714757584061,-2.5065548806826063,8.803657833938775,-0.2263418990324162,-16.23376663588899,53.01724137931034,52.95336787564766,24.814718832293114,-62.19415996046208,0.9867858406930266,-1.0065212781595012,-16.651898077710758,-73.38820209366183,53.01724137931034,1363
GEV,Avoid,1090.530029296875,32.263494946195195,-2.882804142313383,1059.0921844391335,-31.43784485774154,-5.132532295488456,68.65671641791045,56.91056910569107,17.546980550127422,38.58329666841478,2.2370645893446097,4.860416729302442,-11.512523311327548,-11.512523311327538,68.65671641791045,535
MRVL,Avoid,182.5800018310547,22.29240244760626,-3.126414907548364,176.87179343560652,-5.7082083954481675,0.0,48.58757062146893,50.18099547511312,17.553420946482913,136.02194741685884,0.2736477618985733,0.7901422949903842,-32.06431970722583,-60.78851317160523,48.58757062146893,2858
DDOG,Avoid,202.83999633789062,48.576708081,-3.7408564046621002,195.25204334366828,-7.5879529942223485,-1.2030593980199122,47.27891156462585,46.72131147540984,42.968146764213785,72.15178368679105,1.0365837386023329,0.9613012215469674,-23.46909589556494,-48.62057017996233,47.27891156462585,1672
CRM,Avoid,167.5800018310547,39.77840441192031,-3.939021963385951,160.97898875268686,-6.601013078367828,-16.87738605678877,61.5819209039548,53.07692307692309,23.009126799725887,-38.256835443754724,0.7752711129263264,-0.5610265844510849,-19.060150885923775,-54.70081885161318,61.5819209039548,2858
AIP,Avoid,37.34000015258789,28.85374893541538,-5.288996579070425,35.36508882189263,-1.9749113306952637,0.0,46.808510638297875,52.43589743589745,2.4354019243348013,219.8924665575651,0.8093364391013845,4.830644997011162,-1.7260146842582147,-30.29994923756959,46.808510638297875,1141
RPGL,Avoid,0.3400000035762787,49.7321005316441,-13.162963551864562,0.29524592702919494,-0.04475407654708374,-85.21739084238365,85.71428571428571,63.04347826086957,0.0,411.11111405455046,,10636264610890.838,0.0,-31.443298779026552,85.71428571428571,147
Nasdaq 100,No Entry,29580.30078125,49.97138699192367,0.3478590264931912,29683.198527581415,102.89774633141496,0.0,55.74387947269304,52.895927601809966,0.48790581015150103,56.85394661144456,0.01743398988268723,1.1282968293323692,-13.047301491126738,-22.931507189551603,55.74387947269304,2858
Dow Jones Industrial Average,No Entry,50063.4609375,45.873218946414504,0.1134894725306528,50120.27769524856,56.8167577485583,0.0,46.32768361581921,48.144796380090504,9.595962528179069,26.25771209938921,0.5420082307352196,0.791160452457204,-9.206861414499645,-16.369224740128864,46.32768361581921,2858
Russell 2000,No Entry,2863.090087890625,44.655011087088,-0.05907082262538193,2861.3988370232023,-1.6912508674226956,-0.8202915881906692,53.483992467043315,50.723981900452486,15.616022412851116,37.16959091914185,1.1532556026218206,0.7421251479257029,-3.4733242358482297,-27.899741616017128,53.483992467043315,2858
S&P 500,No Entry,7501.240234375,49.34732543932027,-0.14356289122228752,7490.471237017001,-10.76899735799907,0.0,47.83427495291902,47.87330316742081,3.5868181607105587,41.00119058655907,0.39512404687858654,1.09978952578738,-5.151292672022922,-18.902206184283997,47.83427495291902,2858
Hang Seng Index,No Entry,25962.73046875,45.3049865242727,-0.27522682626393735,25891.274069669398,-71.45639908060184,-4.781164017874284,51.252408477842,49.79118329466357,20.04146945256602,60.217838535614845,1.7244882186784183,1.0687040088361515,-2.1752203369046152,-19.95402601187244,51.252408477842,2795
